ID,Included from paper (ID),Snowballing Direction,Title,Authors,Venue,Venue Type,Year,I1,I2,I3,E1,E2,E3,E4,E5,E6,Included,Notes
K5C2XV33,R2FNZSWN,F,Energy profiles of java collections classes,"Hasan, Samir; King, Zachary; Hafiz, Munawar; Sayagh, Mohammed; Adams, Bram; Hindle, Abram",Proceedings of the 38th International Conference on Software Engineering,C,2016,x,x,x,,,,,,,x,"Paper analyzes an applications code to “to selectively replace Collections types used in six applications and libraries.” (Hasan et al., 2016, p. 225)"
WDMGKU7Q,R2FNZSWN,F,Automated Refactoring for Energy-Aware Software,"Bree, Déaglán Connolly; Cinnéide, Mel Ó",2021 IEEE International Conference on Software Maintenance and Evolution (ICSME),C,2021,x,x,x,,,,,,,x,Paper describes two possible ways of refactoring an application for energy code smells.
MY8FDDML,R2FNZSWN,F,Removing Decorator to Improve Energy Efficiency,"Bree, Déaglán Connolly; Cinnéide, Mel Ó","2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",C,2022,x,x,x,,,,,,,x,Paper proposes to eliminate the decorator pattern to increase the energy efficiency of applications.
ESMRAFHG,R2FNZSWN,F,Comparing the Energy Consumption of Java I/O Libraries and Methods,"Ournani, Zakaria; Rouvoy, Romain; Rust, Pierre; Penhoat, Joel",37th International Conference on Software Maintenance and Evolution (ICSME),C,2021,x,x,x,,,,,,,x,Paper analyzes different io libraries in the Java language and proposes to substitute libraries to increase the energy efficiency of an application.
AWARRYWE,R2FNZSWN,F,Evaluating the Impact of Java Virtual Machines on Energy Consumption,"Ournani, Zakaria; Belgaid, Mohammed Chakib; Rouvoy, Romain; Rust, Pierre; Penhoat, Joel",Proceedings of the 15th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),C,2021,x,x,x,,,,,,,x,"Paper proposes “an Open source tool, named JReferral that recommends an energy-efficient JVM distribution and configuration for any Java application.” (Ournani et al., 2021, p. 1)"
DJW8RCH4,S2IRVNC6,F,"Comparing REST, SOAP, Socket and gRPC in computation offloading of mobile applications: An energy cost analysis","Chamas, Carolina Luiza; Cordeiro, Daniel; Eler, Marcelo Medeiros",2017 IEEE 9th Latin-American Conference on Communications (LATINCOM),C,2017,x,x,x,,,,,,,x,"Paper investigates which communication protocol is most energy efficient, REST, SOAP, Socket, or gRPC."
3YVNHUJR,S2IRVNC6,F,Energy saving strategies in the design of mobile device applications,"Meneses-Viveros, Amilcar; Hernández-Rubio, Erika; Mendoza, Sonia; Rodríguez, José; Quintos, Ana Belem Márquez",Sustainable Computing: Informatics and Systems,J,2018,x,x,x,,,,,,,x,Paper reviews several energy saving techniques from a developers perspective.
E5PP5MNY,98DNPTFE,F,Enforcing green code with Android lint,"Goaër, Olivier Le",Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering Workshops,C,2020,x,x,x,,,,,,,x,Paper proposes to extend the Android Studio IDE to add a power consumption tests.
MXC33NQL,JL65TSWG,F,Architectural Tactics to Optimize Software for Energy Efficiency in the Public Cloud,"Vos, Sophie; Lago, Patricia; Verdecchia, Roberto; Heitlager, Ilja",International Conference on ICT for Sustainability,C,2022,x,x,x,,,,,,,x,Paper proposes energy tactics that can be used by developers using the public cloud.
6VBJLJ6V,WJC7DC24,F,EARLY ANALYSIS OF SOFTWARE ARCHITECTURE TO ESTIMATE ENERGY CONSUMPTION IN ANDROID PLATFORM,"AL NIDAWI, HASAN SAJID ATTA; WEI, KOH TIENG; KHALEEL, AMMAR; DAWOOD, KAREEM ABBAS",Journal of Theoretical and Applied Information Technology,J,2018,x,x,x,,,,,,,x,"Paper presents “the evaluation of two architectures (i.e. server-centric and mobilecentric architectures) and analysed how their battery consumption depends on the software architecture used to run the application.” (AL NIDAWI et al., 2018, p. 7861) They find that mobile-centric applications are more energy efficient than server-centric applications when it comes to data retrieval."
F7RAFTPT,WJC7DC24,F,GREEN MOBILE APPLICATION DEVELOPMENT THROUGH SOFTWARE LOCALIZATION,"Kasakliev, Nikolay; Somova, Elena; Gocheva, Margarita",International Journal on Information Technologies & Security,J,2019,x,x,x,,,,,,,x,Paper proposes for application developers to use different types of localization depending on their application’s needs in order to save energy.
7EBBEQTC,TKSV4V8X,F,Automated re-factoring of android apps to enhance energy-efficiency,"Banerjee, Abhijeet; Roychoudhury, Abhik",Proceedings of the International Conference on Mobile Software Engineering and Systems,C,2016,x,x,x,,,,,,,x,"Paper presents “a light-weight re-factoring technique that can assist in energyaware app development.” (Banerjee and Roychoudhury, 2016, p. 139)"
8JBIUZ3B,TKSV4V8X,F,Melta: A method level energy estimation technique for android development,"Farooq, Muhammad Umer; Khan, Saif Ur Rehman; Beg, Mirza Omer",2019 International Conference on Innovative Computing (ICIC),C,2019,x,x,x,,,,,,,x,"Paper proposes “a probabilistic technique for fine-grained energy estimation to compute the energy consumption of each method in Android applications.” (Farooq et al., 2019, p. 1)"
WHU8YABA,TKSV4V8X,F,Green configurations of functional quality attributes,"Horcas, Jose-Miguel; Pinto, Mónica; Fuentes, Lidia",Proceedings of the 21st International Systems and Software Product Line Conference-Volume A,C,2017,x,x,x,,,,,,,x,"Paper “proposes a solution to help the software architect to generate congurations of functional quality attributes whilst keeping the energy consumed by the application as low as possible.” (Horcas et al., 2017, p. 79)"
5HSE8H76,TKSV4V8X,F,Software energy measurement at different levels of granularity,"Ghaleb, Taher Ahmed",2019 International Conference on Computer and Information Sciences (ICCIS),C,2019,x,x,x,,,,,,,x,Paper reviews different software measurement tools.
EQ8JEST9,TKSV4V8X,F,Self-adaptive energy-efficent applications: the hadas developing approach,"Horcas, Jose Miguel; Pinto, Mónica; Fuentes, Lidia; Gámez, Nadia","2017 IEEE 15th Intl Conf on Dependable, Autonomic and Secure Computing, 15th Intl Conf on Pervasive Intelligence and Computing, 3rd Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress (DASC/PiCom/DataCom/CyberSciTech)",C,2017,x,x,x,,,,,,,x,"Paper proposes “the HADAS green assistant, which helps developers to identify the energy-consuming concerns of their applications (i.e., points in the application that consume more energy, like storing or transferring data), and also to model, analyse and reason about different architectural solutions for each of these concerns.” (Gamez et al., 2016, p. 1)"
